x,CL = 0.700,Ideal,CL = 0.500,CL = 0.300,CL = 0.150
0.01007,,,,,3.24407
0.0101,,,,,3.23481
0.0102,,,,,3.26801
0.0103,,,,,3.27311
0.0104,,,,,3.27684
0.0105,,,,,3.2798
0.0106,,,,,3.28225
0.0107,,,,,3.28432
0.0108,,,,,3.28612
0.0109,,,,,3.28768
0.011,,,,,3.28905
0.0111,,,,,3.29025
0.0112,,,,,3.29132
0.0113,,,,,3.29227
0.0114,,,,,3.2931
0.0115,,,,,3.29384
0.0116,,,,,3.29448
0.0117,,,,,3.29504
0.0118,,,,,3.29553
0.0119,,,,,3.29594
0.012,,,,,3.29628
0.0121,,,,,3.29656
0.0122,,,,,3.29677
0.0123,,,,,3.29693
0.0124,,,,,3.29702
0.0125,,,,,3.29706
0.0126,,,,,3.29704
0.0127,,,,,3.29695
0.0128,,,,,3.29681
0.0129,,,,,3.29661
0.013,,,,,3.29634
0.0131,,,,,3.29601
0.0132,,,,,3.2956
0.0133,,,,,3.29513
0.0134,,,,,3.29458
0.0135,,,,3.20678,3.29395
0.0136,,,,3.21852,3.29325
0.0137,,,,3.23053,3.29247
0.0138,,,,3.24312,3.2916
0.0139,,,,3.25726,3.29066
0.014,,,,3.26702,3.28963
0.0141,,,,3.27171,3.28853
0.0142,,,,3.2748,3.28736
0.0143,,,,3.27721,3.28613
0.0144,,,,3.27923,3.28485
0.0145,,,,3.28101,3.28356
0.0146,,,,3.28262,3.28229
0.0147,,,,3.28412,3.28101
0.0148,,,,3.28553,3.27968
0.0149,,,,3.28686,3.27825
0.015,,,,3.28814,3.27667
0.0151,,,,3.28935,3.27488
0.0152,,,,3.29052,3.27286
0.0153,,,,3.29165,3.2706
0.0154,,,,3.29274,3.26812
0.0155,,,,3.29379,3.26543
0.0156,,,,3.2948,3.26258
0.0157,,,,3.29578,3.2596
0.0158,,,,3.29673,3.25652
0.0159,,,,3.29764,3.25336
0.016,,,,3.29852,3.25014
0.0161,,,,3.29937,3.24688
0.0162,,,,3.30019,3.24357
0.0163,,,,3.30098,3.24023
0.0164,,,,3.30174,3.23686
0.0165,,,,3.30247,3.23348
0.0166,,,,3.30317,3.23008
0.0167,,,,3.30383,3.22668
0.0168,,,,3.30446,3.22329
0.0169,,,,3.30506,3.21991
0.017,,,,3.30562,3.21653
0.0171,,,,3.30614,3.21316
0.0172,,,,3.30663,3.20978
0.0173,,,,3.30708,3.20638
0.0174,,,,3.30748,3.20295
0.0175,,,,3.30785,3.19948
0.0176,,,,3.30816,3.19595
0.0177,,,,3.30844,3.19235
0.0178,,,,3.30867,3.18866
0.0179,,,,3.30885,3.18487
0.018,,,,3.30898,3.18096
0.0181,,,,3.30906,3.17693
0.0182,,,,3.30909,3.17279
0.0183,,,,3.30907,3.16855
0.0184,,,,3.30898,3.16423
0.0185,,,,3.30884,3.15984
0.0186,,,,3.30863,3.15541
0.0187,,,,3.30837,3.15094
0.0188,,,,3.30803,3.14644
0.0189,,,,3.30762,3.14195
0.019,,,,3.30714,3.13747
0.0191,,,,3.30657,3.13305
0.0192,,,,3.30593,3.12872
0.0193,,,,3.30519,3.12451
0.0194,,,,3.30437,3.12044
0.0195,,,,3.30344,3.11653
0.0196,,,,3.3024,3.11276
0.0197,,,,3.30125,3.10913
0.0198,,,,3.29997,3.10563
0.0199,,,,3.29856,3.10225
0.02,,,,3.29702,3.09898
0.0201,,,,3.29533,3.09581
0.0202,,,,3.2935,3.09272
0.0203,,,,3.29153,3.0897
0.0204,,,,3.28941,3.08675
0.0205,,,,3.28715,3.08383
0.0206,,,,3.28475,3.08095
0.0207,,,,3.2822,3.0781
0.0208,,,,3.27951,3.07526
0.0209,,,,3.27668,3.07244
0.021,,,,3.27372,3.06962
0.0211,,,,3.27063,3.0668
0.0212,,,,3.26744,3.06398
0.0213,,,,3.26414,3.06115
0.0214,,,,3.26077,3.05831
0.0215,,,,3.25735,3.05544
0.0216,,3.95935,,3.25393,3.05255
0.0217,,3.94353,,3.2505,3.04963
0.0218,,3.93383,,3.2471,3.04666
0.0219,,3.92617,,3.24374,3.04364
0.022,,3.9196,2.89937,3.24045,3.04055
0.0221,,3.91373,2.93676,3.23723,3.03737
0.0222,,3.90834,2.98486,3.23409,3.03407
0.0223,,3.90331,3.00991,3.23102,3.03064
0.0224,,3.89854,3.02181,3.22803,3.02705
0.0225,,3.89392,3.02824,3.22511,3.02329
0.0226,,3.8894,3.03226,3.22224,3.01935
0.0227,,3.88495,3.03522,3.21942,3.0152
0.0228,,3.88054,3.03782,3.21665,3.01085
0.0229,,3.87613,3.04041,3.2139,3.00632
0.023,,3.87172,3.04308,3.21119,3.00165
0.0231,,3.86728,3.04575,3.20849,2.997
0.0232,,3.86279,3.04839,3.2058,2.99259
0.0233,,3.85823,3.05096,3.20313,2.98856
0.0234,,3.85358,3.05344,3.20047,2.98481
0.0235,,3.84881,3.05581,3.19782,2.98122
0.0236,,3.84389,3.05808,3.19517,2.97767
0.0237,,3.83878,3.06024,3.19253,2.97406
0.0238,,3.83342,3.06229,3.18988,2.97033
0.0239,,3.82775,3.06422,3.18724,2.96646
0.024,,3.82174,3.06604,3.18459,2.96246
0.0241,,3.81539,3.06775,3.18194,2.95837
0.0242,,3.80872,3.06936,3.17928,2.95421
0.0243,,3.80175,3.07085,3.1766,2.95001
0.0244,,3.79455,3.07225,3.17391,2.94577
0.0245,,3.78721,3.07355,3.17118,2.94153
0.0246,,3.77982,3.07477,3.16842,2.93728
0.0247,,3.77249,3.07591,3.16561,2.93305
0.0248,,3.76532,3.07697,3.16273,2.92883
0.0249,,3.75836,3.07796,3.15976,2.92465
0.025,,3.75168,3.07889,3.1567,2.92053
0.0251,,3.74529,3.07975,3.15353,2.91647
0.0252,,3.73916,3.08055,3.15028,2.91249
0.0253,,3.73325,3.0813,3.14695,2.90858
0.0254,,3.72751,3.08199,3.1436,2.90473
0.0255,,3.72192,3.08262,3.14023,2.90093
0.0256,,3.71645,3.08321,3.13687,2.89717
0.0257,,3.71109,3.08374,3.13352,2.89343
0.0258,,3.70581,3.08423,3.13018,2.8897
0.0259,,3.70062,3.08468,3.12684,2.88594
0.026,,3.69548,3.08508,3.12349,2.88213
0.0261,,3.6904,3.08543,3.12014,2.87829
0.0262,,3.68536,3.08574,3.11678,2.87445
0.0263,,3.68035,3.08601,3.1134,2.87063
0.0264,,3.67538,3.08625,3.11001,2.86685
0.0265,,3.67042,3.08644,3.1066,2.86313
0.0266,,3.66548,3.08659,3.10317,2.85947
0.0267,,3.66055,3.0867,3.09972,2.85589
0.0268,,3.65562,3.08678,3.09623,2.85237
0.0269,,3.65069,3.08682,3.09272,2.84891
0.027,,3.64577,3.08682,3.08915,2.84551
0.0271,,3.64087,3.08679,3.08554,2.84215
0.0272,,3.63598,3.08673,3.08185,2.83883
0.0273,,3.63112,3.08663,3.07808,2.83555
0.0274,,3.62628,3.0865,3.0742,2.8323
0.0275,,3.62147,3.08634,3.07022,2.82908
0.0276,,3.61669,3.08615,3.06616,2.82589
0.0277,,3.61195,3.08592,3.06207,2.82273
0.0278,,3.60725,3.08567,3.05803,2.81959
0.0279,,3.6026,3.08538,3.0541,2.81648
0.028,,3.59799,3.08507,3.05037,2.81339
0.0281,,3.59344,3.08473,3.04687,2.81033
0.0282,,3.58895,3.08435,3.04362,2.80727
0.0283,,3.58451,3.08395,3.04059,2.80423
0.0284,,3.58015,3.08351,3.03776,2.8012
0.0285,,3.57585,3.08305,3.03511,2.79816
0.0286,,3.57163,3.08255,3.03258,2.79511
0.0287,,3.56749,3.08202,3.03013,2.79205
0.0288,,3.56342,3.08145,3.02775,2.78896
0.0289,,3.55944,3.08086,3.0254,2.78584
0.029,,3.55552,3.08022,3.02307,2.78267
0.0291,,3.55166,3.07955,3.02075,2.77943
0.0292,,3.54786,3.07884,3.01842,2.77609
0.0293,,3.54411,3.0781,3.01608,2.77262
0.0294,,3.5404,3.0773,3.01372,2.76899
0.0295,,3.53672,3.07647,3.01133,2.76518
0.0296,,3.53306,3.07558,3.0089,2.76114
0.0297,,3.52943,3.07464,3.00642,2.75687
0.0298,,3.52581,3.07365,3.00387,2.75237
0.0299,,3.52219,3.0726,3.00126,2.74768
0.03,,3.51856,3.07147,2.99856,2.74294
0.0301,,3.51492,3.07027,2.99576,2.73835
0.0302,,3.51126,3.06899,2.99285,2.73406
0.0303,,3.50756,3.06763,2.98981,2.73011
0.0304,,3.50381,3.06617,2.98662,2.72647
0.0305,,3.50001,3.06461,2.98326,2.72311
0.0306,,3.49613,3.06295,2.97975,2.71998
0.0307,,3.49219,3.06118,2.9761,2.71704
0.0308,,3.48818,3.0593,2.9723,2.71422
0.0309,,3.4841,3.0573,2.96837,2.71148
0.031,,3.47996,3.05519,2.96433,2.70879
0.0311,,3.47577,3.05295,2.96018,2.70612
0.0312,,3.47153,3.0506,2.95596,2.70345
0.0313,,3.46724,3.04814,2.95169,2.70076
0.0314,,3.46292,3.04557,2.94739,2.69804
0.0315,,3.45856,3.04291,2.94308,2.69528
