Name,WORTMANN FX 63-137 AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.893000,0.082000
99.572000,0.249000
99.039000,0.501000
98.296000,0.818000
97.347000,1.189000
96.194000,1.601000
94.844000,2.043000
93.301000,2.516000
91.573000,3.018000
89.668000,3.553000
87.592000,4.114000
85.355000,4.711000
82.967000,5.323000
80.438000,5.962000
77.779000,6.605000
75.000000,7.273000
72.114000,7.927000
69.134000,8.590000
66.072000,9.204000
62.941000,9.804000
59.755000,10.331000
56.526000,10.823000
53.270000,11.221000
50.000000,11.578000
46.730000,11.833000
43.474000,12.042000
40.245000,12.137000
37.059000,12.191000
33.928000,12.128000
30.866000,12.024000
27.886000,11.792000
25.000000,11.522000
22.221000,11.122000
19.562000,10.704000
17.033000,10.165000
14.645000,9.622000
12.408000,8.961000
10.332000,8.313000
8.427000,7.555000
6.699000,6.836000
5.156000,6.005000
3.806000,5.248000
2.653000,4.480000
1.704000,3.625000
0.961000,2.740000
0.428000,1.750000
0.107000,0.900000
0.000000,0.000000
0.107000,-0.232000
0.428000,-0.566000
0.961000,-0.995000
1.704000,-1.254000
2.653000,-1.537000
3.806000,-1.698000
5.156000,-1.887000
6.699000,-1.992000
8.427000,-2.122000
10.332000,-2.180000
12.408000,-2.256000
14.645000,-2.263000
17.033000,-2.277000
19.562000,-2.220000
22.221000,-2.161000
25.000000,-2.034000
27.886000,-1.895000
30.866000,-1.688000
33.928000,-1.460000
37.059000,-1.167000
40.245000,-0.848000
43.474000,-0.486000
46.730000,-0.103000
50.000000,0.307000
53.270000,0.716000
56.526000,1.112000
59.755000,1.475000
62.941000,1.813000
66.072000,2.098000
69.134000,2.345000
72.114000,2.530000
75.000000,2.668000
77.779000,2.745000
80.438000,2.768000
82.967000,2.729000
85.355000,2.631000
87.592000,2.479000
89.668000,2.284000
91.573000,2.052000
93.301000,1.794000
94.844000,1.514000
96.194000,1.219000
97.347000,0.921000
98.296000,0.630000
99.039000,0.373000
99.572000,0.169000
99.893000,0.040000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.107000,0.334000
0.428000,0.592000
0.961000,0.872500
1.704000,1.185500
2.653000,1.471500
3.806000,1.775000
5.156000,2.059000
6.699000,2.422000
8.427000,2.716500
10.332000,3.066500
12.408000,3.352500
14.645000,3.679500
17.033000,3.944000
19.562000,4.242000
22.221000,4.480500
25.000000,4.744000
27.886000,4.948500
30.866000,5.168000
33.928000,5.334000
37.059000,5.512000
40.245000,5.644500
43.474000,5.778000
46.730000,5.865000
50.000000,5.942500
53.270000,5.968500
56.526000,5.967500
59.755000,5.903000
62.941000,5.808500
66.072000,5.651000
69.134000,5.467500
72.114000,5.228500
75.000000,4.970500
77.779000,4.675000
80.438000,4.365000
82.967000,4.026000
85.355000,3.671000
87.592000,3.296500
89.668000,2.918500
91.573000,2.535000
93.301000,2.155000
94.844000,1.778500
96.194000,1.410000
97.347000,1.055000
98.296000,0.724000
99.039000,0.437000
99.572000,0.209000
99.893000,0.061000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
