Aircraft Name,Length [m],MTOW [kg]
Airbus A38F,238.62,1300000
Boeing B748,250.17,987000
Boeing B744,231.85,910000
Airbus A345,222.87,837756
Airbus A346,247.24,837756
Boeing B742,231.83,833000
Boeing B77W,242.33,775000
Boeing B773,209.08,766800
Boeing B74S,184.75,696000
Airbus A359,219.42,617300
Airbus A343,208.96,609578
Airbus A342,194.95,606271
Boeing B789,206.08,560000
Airbus A358,198.58,546700
Airbus A332,193.57,533519
Airbus A333,208.99,533519
Boeing B788,186.08,502500
Airbus A3ST,207,500444
Boeing (McDonnell Douglas) DC10,182.3,455000
Boeing B764,201.33,450000
Boeing B763,180.25,412000
Boeing B762,159.17,395000
Airbus A306,177.43,378530
Airbus A30B,175.5,363760
Airbus A310,153.16,361557
Boeing B703,152.92,333600
Boeing B753,178.58,270000
Boeing B752,155.25,255500
Boeing B720,136.75,234300
Boeing B722,153.17,209500
Airbus A321,146.03,206132
Boeing B39M,138.33,194700
Boeing B739,138.17,187700
Boeing B38M,129.67,182200
Boeing B37M,116.67,177000
Boeing B738,129.5,174200
Airbus A320,123.27,174165
Aero Spacelines SGUP,143.83,170000
Boeing B721,133.17,169000
Airbus A319,111.02,168653
Boeing (McDonnell Douglas) MD90,152.58,168000
Lockheed C130,112.75,164000
Boeing (McDonnell Douglas) MD83,147.83,160000
Boeing B737,110.33,154500
Boeing B734,119.58,150000
Airbus A318,103.18,149914
Bombardier BCS3,127,149000
Boeing B736,102.5,144500
Boeing (McDonnell Douglas) DC7,112.3,143000
Boeing B733,109.58,139500
Boeing B735,101.75,136000
Embraer E190,106,135584
Bombardier BCS1,114.75,134000
Boeing B732,100.17,128100
Aerospatiale (Sud Aviation) S210,101.7,123460
Boeing B712,124,121000
Boeing (McDonnell Douglas) DC93,119.3,121000
Boeing (McDonnell Douglas) DC94,125.6,114000
Boeing B731,94,110000
Boeing (McDonnell Douglas) DC6,105.6,107000
British Aircraft Corporation BA11,107,104500
Breguet Aviation ATLA,103.75,101850
British Aerospace (BAe)/Avro RJ1H,101.67,101500
Gulfstream Aerospace Corp. GLF6,99.75,99600
Bombardier GLEX,99.42,99500
Boeing (McDonnell Douglas) DC92,104.4,98000
British Aerospace (BAe)/Avro RJ85,93.67,97000
British Aerospace (BAe)/Avro RJ70,85.92,95000
Gulfstream Aerospace Corp. GA6C,96.08,94600
Bombardier GL5T,96.83,92500
Gulfstream Aerospace Corp. GLF5,96.42,91000
Bombardier CRJ7,106.57,77000
Antonov AN72,92.1,76060
Gulfstream (Gulfstream Aerospace Corp.) GLF4,88.33,74600
Boeing (McDonnell Douglas) DC4,93.9,73000
Dassault Aviation FA8X,80.21,73000
Dassault Aviation FA7X,76.08,70000
Gulfstream (Gulfstream American Corp.) GLF2,79.92,69700
Gulfstream (Gulfstream American Corp.) GLF3,83.08,69700
Bombardier (De Havilland Canada (DHC)) DH8D,107.75,64500
Aeritalia G222,74.46,61730
Embraer E45X,98,53131
Bombardier CRJ2,87.83,53000
ATR (Aérospatiale/Alenia) AT72,89.13,50706
Saab SB20,89.5,50265
Dassault Aviation F900,66.33,49000
Bombardier CL60,68.42,48200
Bombardier (De Havilland Canada (DHC)) DHC7,80.5,47000
Embraer E135,93.42,46517
Fokker F27,82.21,45900
Embraer E35L,86.42,44092
Bombardier (De Havilland Canada (DHC)) DH8C,84.25,43000
Embraer E545,68.08,42858
ATR (Aérospatiale/Alenia) AT45,74.42,41005
Dassault Aviation FA50,60.77,40780
Bombardier CL35,68.67,40600
Gulfstream Aerospace Corp. G280,66.83,39600
Cessna C700,73.17,39500
Hawker Beechcraft HA4T,69.17,39500
Bombardier CL30,68.75,38850
Dassault Aviation MIR2,47.75,38000
Cessna C750,73.58,36600
Bombardier (De Havilland Canada (DHC)) DH8A,73,36300
Gulfstream Aerospace Corp. GALX,62.25,35650
Fairchild Dornier J328,69.25,34524
Hawker Beechcraft H25C,52.75,31000
CASA H111,53.3,30865
Dornier D328,69.67,30843
Cessna C680,63.5,30775
Saab SF34,64.75,29000
Basler Turbo Conversions DC3T,67.75,28750
Dassault Aviation FA20,56.25,28660
Hawker Beechcraft H25B,51.17,28000
Embraer E120,65.67,26433
Gulfstream Aerospace Corp. (General Dynamics) G150,56.75,26100
Boeing (McDonnell Douglas) DC3,64.67,25199
Israel Aircraft Industries (IAI) WW24,52.25,23500
Cessna C650,55.46,23000
Bombardier LJ60,58.67,22750
